('mov' 'push' 'mov' 'sub' 'mov')	('push' 'mov' 'sub' 'mov' 'mov')	('mov' 'mov' 'push' 'mov' 'sub')	('nop' 'jmp' 'nop' 'jmp' 'nop')	('jmp' 'nop' 'jmp' 'nop' 'jmp')	binary	optimized
97	180	63	78	72	nl_NGRAMS.txt_-fexpensive-optimizations	0
54	73	48	11	9	runcon_NGRAMS.txt_-fexpensive-optimizations	0
41	62	34	11	9	kill_NGRAMS.txt_-fexpensive-optimizations	0
39	59	33	11	9	link_NGRAMS.txt_-fexpensive-optimizations	0
41	62	34	11	9	rmdir_NGRAMS.txt_-fexpensive-optimizations	0
112	267	79	12	10	factor_NGRAMS.txt_-fexpensive-optimizations	0
46	81	38	17	15	stty_NGRAMS.txt_-fexpensive-optimizations	0
104	195	69	78	72	csplit_NGRAMS.txt_-fexpensive-optimizations	0
49	93	41	12	10	realpath_NGRAMS.txt_-fexpensive-optimizations	0
53	102	41	12	11	tail_NGRAMS.txt_-fexpensive-optimizations	0
162	360	107	78	72	expr_NGRAMS.txt_-fexpensive-optimizations	0
41	67	34	13	10	test_NGRAMS.txt_-fexpensive-optimizations	0
168	273	146	50	48	dir_NGRAMS.txt_-fexpensive-optimizations	0
39	60	32	11	9	truncate_NGRAMS.txt_-ftree-sra	0
47	91	39	12	10	readlink_NGRAMS.txt_-ftree-sra	0
39	59	32	11	9	nice_NGRAMS.txt_-ftree-sra	0
41	66	34	11	9	timeout_NGRAMS.txt_-ftree-sra	0
99	186	83	16	13	cp_NGRAMS.txt_-ftree-sra	0
44	65	38	11	9	nohup_NGRAMS.txt_-ftree-sra	0
41	62	34	11	9	groups_NGRAMS.txt_-ftree-sra	0
54	92	40	76	73	touch_NGRAMS.txt_-ftree-sra	0
77	132	63	51	49	stat_NGRAMS.txt_-ftree-sra	0
43	66	36	11	9	pwd_NGRAMS.txt_-ftree-sra	0
43	69	36	11	9	tee_NGRAMS.txt_-ftree-sra	0
39	59	33	11	9	unlink_NGRAMS.txt_-ftree-sra	0
39	63	32	11	9	fold_NGRAMS.txt_-ftree-sra	0
54	94	39	109	106	date_NGRAMS.txt_-ftree-sra	0
56	110	47	15	12	chgrp_NGRAMS.txt_-ftree-sra	0
39	57	33	11	9	tty_NGRAMS.txt_-ftree-sra	0
46	78	37	11	9	uniq_NGRAMS.txt_-ftree-sra	0
44	69	35	11	9	pinky_NGRAMS.txt_-ftree-sra	0
47	78	38	11	9	split_NGRAMS.txt_-ftree-sra	0
